id,type,difficulty,question,reference_answer
1,HR,Beginner,tell me about yourself,"I am a motivated student with good communication and technical skills. I enjoy learning new things, working on projects, and improving my knowledge."
2,HR,Beginner,what are your strengths?,"My strengths are communication, teamwork, problem solving, adaptability, and willingness to learn new skills."
3,HR,Beginner,what are your weaknesses?,"One of my weaknesses is that I sometimes spend too much time trying to make my work perfect. I am improving this by managing my time and priorities better."
4,HR,Beginner,why do you want this job?,"I want this job because it matches my skills and interests. It will give me an opportunity to learn, grow professionally, and contribute to the organization."
5,HR,Beginner,what are your carrer goals?,"My career goal is to continuously improve my technical and professional skills, gain valuable experience, and take on greater responsibilities in the future."
6,HR,Intermediate,why should we hire u?,"You should hire me because I am hardworking, willing to learn, adaptable, and capable of working well in a team. I will use my skills to contribute to the organization."
7,HR,Intermediate,describe a challenging situation you faced?,"I faced a challenging situation during a project when I had difficulty completing my assigned task on time. I divided the task into smaller parts, asked for guidance when needed, and completed it successfully."
8,HR,Intermediate,how do u handle pressure?,"I handle pressure by staying calm, organizing my tasks according to priority, and focusing on one task at a time. I also communicate with my team when I need support."
9,HR,Intermediate,how do you work in a team?,"I work in a team by communicating clearly, respecting other people's ideas, completing my responsibilities, and helping team members when required."
10,HR,Advanced,describe a time when you solve a difficult problem?,"I once faced a difficult problem during a project where the expected result was not being produced. I identified the cause, tested different solutions, and discussed the issue with my team. Eventually, we found a suitable solution and completed the project."
11,technical,Beginner,what is python?,"Python is a high-level interpreted programming language known for its simple syntax. It is widely used for web development, data analysis, artificial intelligence, machine learning, and automation."
12,technical,Beginner,what is a variable in python?,"A variable in Python is a name used to store a value or reference to an object. Python variables do not require explicit declaration of their data type."
13,technical,Beginner,what is a function?,"A function is a reusable block of code designed to perform a specific task. Functions help make programs organized, reusable, and easier to maintain."
14,technical,Beginner,what is a database?,"A database is an organized collection of data that can be stored, managed, accessed, and updated efficiently."
15,technical,Beginner,what is html used for?,"HTML stands for HyperText Markup Language. It is used to create and structure the content of web pages, such as headings, paragraphs, links, images, forms, and tables."
16,Technical,Intermediate,What is the difference between a list and tuple in Python?,"A list is an ordered and mutable collection in Python, while a tuple is an ordered and immutable collection. Lists use square brackets and tuples generally use parentheses."
17,Technical,Intermediate,What is object oriented programming?,"Object oriented programming is a programming approach based on objects and classes. It uses concepts such as encapsulation, inheritance, polymorphism, and abstraction."
18,Technical,Intermediate,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including its noise, and performs poorly on new unseen data."
19,Technical,Advanced,Explain the difference between supervised and unsupervised learning.,"Supervised learning uses labeled data to learn a relationship between inputs and outputs. Unsupervised learning uses unlabeled data to discover patterns, groups, or structures in the data."
20,Technical,Advanced,How would you evaluate a machine learning model?,"A machine learning model can be evaluated using suitable metrics such as accuracy, precision, recall, F1-score, and confusion matrix for classification, or MAE, MSE, RMSE, and R-squared for regression."
21,General,Beginner,What are your hobbies?,"My hobbies include learning new technology, working on interesting projects, reading, and spending time on activities that help me develop new skills."
22,General,Beginner,What motivates you?,"I am motivated by learning new things, solving problems, achieving my goals, and seeing improvement in my skills."
23,General,Beginner,How do you manage your time?,"I manage my time by making a task list, setting priorities, dividing large tasks into smaller tasks, and completing important work before less important activities."
24,General,Intermediate,How do you handle failure?,"I treat failure as an opportunity to learn. I try to understand what went wrong, identify areas for improvement, and use that experience to perform better next time."
25,General,Intermediate,How do you prioritize your tasks?,"I prioritize tasks based on their importance, urgency, deadlines, and impact. I complete high-priority tasks first and then move to less urgent tasks."
26,General,Intermediate,What makes a good leader?,"A good leader communicates clearly, listens to team members, makes responsible decisions, supports the team, and motivates people to work toward a common goal."
27,General,Advanced,How would you handle a conflict in a team?,"I would listen to everyone involved, understand the cause of the conflict, communicate respectfully, and work with the team members to find a fair solution that supports the project's goals."
28,General,Advanced,How do you adapt to unexpected changes?,"I stay calm, understand the new situation, identify what needs to change, and adjust my priorities and plan accordingly. I also communicate with others if the change affects the team."
